Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years
Charlie Villanueva,1,1.7,0.534,0.393,83,240,11.2,0.4,0,6.7,2
Channing Frye,1.3,1.9,0.568,0.261,83,248,13.5,0.6,0,7.3,4
Ike Diogu,1.2,1.7,0.591,0.387,80,250,21.4,0.4,0,8.8,3
Sean May,1.5,1.2,0.519,0,81,266,15.8,1.3,0,10,3
Rashad McCants,2.1,0.6,0.538,0.415,76,207,17.6,1.5,0,4.1,3
Antoine Wright,2.1,0.6,0.439,0.376,79,210,15.4,1.1,0,5.6,3
Joey Graham,1.6,0.2,0.56,0.476,79,225,15,0.8,0,5.7,4
Danny Granger,2.3,1.8,0.556,0.392,80,225,19.1,1.8,0,8.9,4
Hakim Warrick,1.5,0.9,0.544,0.25,81,219,15.4,1,0,7.6,4
Julius Hodge,3.5,0.6,0.52,0.329,79,210,15.8,1.2,0,6,4
Nate Robinson,3.2,0.1,0.523,0.348,69,180,14.4,1.6,0,3.9,3
Jarrett Jack,5.4,0.1,0.53,0.359,75,202,12.5,1.8,0,4.5,3
Francisco Garcia,3.5,1.4,0.519,0.369,79,195,14.4,1.5,0,3.9,3
Luther Head,2.5,0.2,0.594,0.382,75,185,10.1,1.2,0,3.1,4
Jason Maxiell,0.7,1.9,0.509,0.286,79,260,12.1,0.7,0,7,4
Linas Kleiza,1.3,0.3,0.453,0.287,80,245,14.4,0.6,0,7.9,2
Wayne Simien,0.9,0.7,0.566,0.24,81,255,15,0.7,0,8.3,4
David Lee,2,0.9,0.584,0,81,249,11.3,0.9,0,6.8,4
Salim Stoudamire,2,0.1,0.488,0.458,73,179,15.2,0.8,0,2.2,4
Daniel Ewing,2.1,0.2,0.464,0.392,75,185,11.6,1.4,0,2.8,4
Brandon Bass,0.7,1.8,0.554,0.378,80,240,15.1,0.8,0,8.2,2
Ronny Turiaf,1,1.4,0.524,0.222,82,249,13.6,0.5,0,6.8,4
Travis Diener,5.1,0.1,0.42,0.413,73,175,14.1,1.3,0,3.1,4
Von Wafer,1.4,0.2,0.457,0.365,77,210,10.1,0.9,0,2.2,2
Chris Taft,1.1,1.7,0.569,0,82,260,12,0.4,0,7.5,2
Bracey Wright,2.4,0.6,0.451,0.35,75,210,17.6,0.9,0,5.1,3
Ryan Gomes,2.3,0.4,0.549,0.352,79,250,18.4,1.6,0,8.9,4
Robert Whaley,0.6,0.4,0.35,0,82,260,5.8,0.3,0,2.5,1
Orien Greene,3.6,0.3,0.485,0.339,76,208,11.1,2.6,0,4.6,4
Dijon Thompson,2,0.3,0.51,0.362,79,195,12.5,1.1,0,4.7,4
Lawrence Roberts,1.6,0.7,0.505,0.296,81,240,16.9,1.5,0,10.5,4
Alex Acker,2.8,0.4,0.476,0.411,77,185,14.5,1.5,0,5.6,3
LaMarcus Aldridge,0.6,1.8,0.586,0,83,240,13.5,1.3,0,8.2,2
Adam Morrison,2,0.4,0.551,0.368,80,205,19.7,0.7,0,5.1,3
Tyrus Thomas,1.3,3.1,0.606,1,81,215,12.3,1,0,9.2,1
Shelden Williams,0.9,3,0.574,0.333,81,250,13.9,1.2,0,9.1,4
Brandon Roy,3,0.5,0.541,0.344,78,215,14.3,1,0,5,4
Randy Foye,3.2,0.4,0.441,0.329,76,210,15,1.5,0,4.8,4
Rudy Gay,1.8,1.7,0.483,0.378,81,220,13.6,1.3,0,5.9,2
Patrick O'Bryant,0.7,2.8,0.554,0,84,260,11.6,0.9,0,7.8,2
J.J. Redick,2.2,0.1,0.472,0.406,76,190,19.9,1.1,0,2.7,4
Hilton Armstrong,0.6,1.5,0.565,0.333,83,235,4.7,0.3,0,3.9,4
Ronnie Brewer,3.3,0.5,0.511,0.34,79,220,15.7,2.4,0,5,3
Cedric Simmons,1.1,1.8,0.566,0.5,81,235,7.7,0.4,0,4.1,2
Rodney Carney,1.2,1,0.468,0.362,79,205,14.3,1,0,4.9,4
Shawne Williams,1.9,1.4,0.489,0.312,81,225,13.2,1.4,0,6.2,1
Quincy Douby,2.7,0.7,0.473,0.389,75,175,17.8,1.3,0,2.9,3
Renaldo Balkman,1.7,1.1,0.581,0.291,80,208,7.4,1.2,0,5.3,3
Rajon Rondo,4.2,0.2,0.544,0.283,73,171,9.6,2.3,0,4.5,2
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,0,3.2,3
Josh Boone,0.8,2.2,0.578,0,82,237,9.3,0.5,0,7,3
Kyle Lowry,3,0.2,0.463,0.325,72,175,9.5,1.9,0,3.8,2
Shannon Brown,1.9,0.1,0.503,0.364,76,205,12.2,1.3,0,3.4,3
Jordan Farmar,5.2,0.2,0.463,0.333,74,180,13.3,1.2,0,3,2
Maurice Ager,1.5,0.3,0.492,0.38,77,202,12.5,0.5,0,3.4,4
Mardy Collins,3.2,0.2,0.457,0.292,78,220,15.4,2.3,0,4.6,4
James White,2.8,0.6,0.508,0.347,79,200,11.7,1,0,4.7,4
Steve Novak,1,0.1,0.443,0.461,82,220,12.4,0.5,0,4.2,4
Solomon Jones,1,2.6,0.507,0,82,230,9.8,0.6,0,8,2
Paul Davis,1.4,0.7,0.549,0.271,83,270,13.2,1.1,0,7,4
P.J. Tucker,2,0.3,0.527,0.5,77,225,13.4,1.3,0,8.2,3
Craig Smith,1.9,0.8,0.572,0.239,79,250,18.1,1.3,0,8.6,4
Bobby Jones,0,0,0,0,81,210,13.7,0,0,8.9,3
David Noel,1.9,0.5,0.6,0.354,78,230,6.9,1.1,0,4.3,4
Denham Brown,1.3,0.2,0.466,0.354,78,0,9.4,0.7,0,3.9,4
James Augustine,1.1,1,0.623,0.333,82,235,10.1,1,0,7.5,4
Daniel Gibson,3.5,0.3,0.451,0.387,74,190,13.8,1.5,0,3.6,2
Alexander Johnson,0.7,0.7,0.535,0.308,81,240,9.8,0.9,0,5.2,3
Dee Brown,3.1,0.3,0.51,0.366,73,160,13.9,1.9,2.3,5.3,4
Paul Millsap,0.9,2,0.58,0.375,80,245,18.6,1.3,0,12.7,3
Leon Powe,1.1,0.6,0.495,0.3,80,240,17.8,0.8,0,9.8,2
Ryan Hollins,0.4,0.9,0.574,1,84,230,5.7,0.2,0,4,4
Guillermo Diaz,2.6,0.3,0.493,0.38,74,192,15.9,1.3,0,3.4,3
Hassan Adams,2,0.7,0.535,0.311,76,220,14,1.8,0,5.4,4
J.R. Pinnock,2.1,0.6,0.533,0.308,77,0,12.6,1.8,0,4.6,3
Will Blalock,5,0.1,0.445,0.365,72,205,11.6,1.9,0,3.1,3
Greg Oden,0.7,3.3,0.616,0,84,250,15.7,0.6,0,9.6,1
Kevin Durant,1.3,1.9,0.505,0.404,81,215,25.8,1.9,0,11.1,1
Al Horford,1.7,1.7,0.589,0,82,245,10.3,0.9,0,7.9,3
Mike Conley,6.1,0.3,0.579,0.304,73,180,11.3,2.2,0,3.4,1
Jeff Green,3.1,1.2,0.531,0.359,81,235,13.1,0.9,0,6.5,3
Corey Brewer,2.8,0.4,0.536,0.356,81,185,11.3,1.6,0,4.3,3
Brandan Wright,1,1.8,0.646,0,81,205,14.7,1,0,6.2,1
Joakim Noah,1.7,1.7,0.617,0.5,83,232,10.5,0.9,0,6.4,3
Spencer Hawes,1.9,1.7,0.533,0.333,84,245,14.9,0.5,0,6.4,1
Acie Law,4.5,0,0.502,0.357,75,195,13.7,1.3,0,3.1,4
Thaddeus Young,2,0.4,0.498,0.419,80,220,14.4,1.3,0,4.9,1
Julian Wright,2,1.3,0.565,0.188,80,225,10.4,1.2,0,6.3,2
Al Thornton,0.7,0.6,0.543,0.438,80,220,12.3,0.8,0,5.2,4
