Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Chris Duhon,5.7,0.1,0.511,0.321,73,185,8.8,2.1,2.140225564,3.4,4,Duke,38,606,25
Justin Reed,1.1,0.7,0.5,0.285,80,240,14.6,1,2.140225564,6.3,4,Mississippi,40,136,0.5
David Young,3.4,0.4,0.53,0.343,77,213.640369,7.7,1.2,2.140225564,2.1,4,North Carolina Central,41,574,20.2
Trevor Ariza,2.1,0.4,0.509,0.237,80,200,11.6,1.7,2.140225564,6.5,1,UCLA,43,875,52.1
Tim Pickett,2.1,0.4,0.473,0.367,76,210.8658188,16.7,2.6,2.140225564,5.1,2,Florida State,44,0,0
Bernard Robinson,3,0.4,0.472,0.297,78,210,12.5,1.4,2.140225564,5.3,4,Michigan,45,128,2
Ricky Minard,3.7,0.6,0.554,0.372,76,210.8658188,20.9,2.1,2.140225564,6.4,4,Morehead State,48,0,0
Christian Drejer,3.2,0.2,0.5,0.378,81,224.73857,7.1,0.7,2.140225564,3.3,2,Florida,51,0,0
Romain Sato,2,0.3,0.481,0.367,77,213.640369,15.4,1,2.140225564,6.9,4,Xavier,52,0,0
Matt Freije,0.9,0.6,0.501,0.355,82,240,15.6,0.7,2.140225564,4.9,4,Vanderbilt,53,42,-0.6
Rickey Paulding,1.8,0.4,0.494,0.367,77,213.640369,12.8,0.8,2.140225564,4,4,Missouri,54,0,0
Luis Flores,2.3,0.2,0.477,0.386,74,200,22.7,1.8,2.140225564,4.5,4,Manhattan College,55,16,0
Marcus Douthit,1.5,2.4,0.439,0,82,227.5131203,5.9,0.9,2.140225564,4.6,4,Providence College,56,0,0
Blake Stepp,5,0.1,0.478,0.381,76,210.8658188,13,1.2,2.140225564,3.9,4,Gonzaga,58,0,0
Rashad Wright,4.1,0.3,0.446,0.341,75,208.0912685,8.9,1.4,2.140225564,2.7,4,Georgia,59,0,0
Andrew Bogut,2.3,1.6,0.616,0.361,84,245,16.6,0.7,2.140225564,11.1,2,Utah,1,671,49.9
Marvin Williams,0.7,0.5,0.522,0.432,81,230,11.3,1.1,2.140225564,6.6,1,North Carolina,2,861,53.9
Deron Williams,5.9,0.2,0.464,0.374,75,210,11,1.1,2.140225564,3.3,3,Illinois,3,845,77.3
Chris Paul,6.3,0.2,0.473,0.47,72,175,15,2.5,2.140225564,3.9,2,Wake Forest,4,834,154.6
Raymond Felton,6.9,0.3,0.467,0.375,73,198,12.5,1.9,2.140225564,4.1,3,North Carolina,5,856,37.3
Charlie Villanueva,1,1.7,0.534,0.393,83,240,11.2,0.4,2.140225564,6.7,2,Connecticut,7,656,22.6
Channing Frye,1.3,1.9,0.568,0.261,83,248,13.5,0.6,2.140225564,7.3,4,Arizona,8,801,37.3
Ike Diogu,1.2,1.7,0.591,0.387,80,250,21.4,0.4,2.140225564,8.8,3,Arizona State,9,225,6.5
Sean May,1.5,1.2,0.519,0,81,266,15.8,1.3,2.140225564,10,3,North Carolina,13,119,2.6
Rashad McCants,2.1,0.6,0.538,0.415,76,207,17.6,1.5,2.140225564,4.1,3,North Carolina,14,249,3.6
Antoine Wright,2.1,0.6,0.439,0.376,79,210,15.4,1.1,2.140225564,5.6,3,Texas A&M,15,297,3.1
Joey Graham,1.6,0.2,0.56,0.476,79,225,15,0.8,2.140225564,5.7,4,Oklahoma State,16,377,7.8
Danny Granger,2.3,1.8,0.556,0.392,80,225,19.1,1.8,2.140225564,8.9,4,New Mexico,17,586,48.5
Hakim Warrick,1.5,0.9,0.544,0.25,81,219,15.4,1,2.140225564,7.6,4,Syracuse,19,526,20.4
Julius Hodge,3.5,0.6,0.52,0.329,79,210,15.8,1.2,2.140225564,6,4,North Carolina State,20,23,0
Nate Robinson,3.2,0.1,0.523,0.348,69,180,14.4,1.6,2.140225564,3.9,3,Washington,21,618,27.8
Jarrett Jack,5.4,0.1,0.53,0.359,75,202,12.5,1.8,2.140225564,4.5,3,Georgia Tech,22,805,35.7
Francisco Garcia,3.5,1.4,0.519,0.369,79,195,14.4,1.5,2.140225564,3.9,3,Louisville,23,549,18.2
Luther Head,2.5,0.2,0.594,0.382,75,185,10.1,1.2,2.140225564,3.1,4,Illinois,24,348,14.7
Jason Maxiell,0.7,1.9,0.509,0.286,79,260,12.1,0.7,2.140225564,7,4,Cincinnati,26,618,20.3
Linas Kleiza,1.3,0.3,0.453,0.287,80,245,14.4,0.6,2.140225564,7.9,2,Missouri,27,409,13.6
Wayne Simien,0.9,0.7,0.566,0.24,81,255,15,0.7,2.140225564,8.3,4,Kansas,29,51,0.9
David Lee,2,0.9,0.584,0,81,249,11.3,0.9,2.140225564,6.8,4,Florida,30,58,1.9
Salim Stoudamire,2,0.1,0.488,0.458,73,179,15.2,0.8,2.140225564,2.2,4,Arizona,31,157,2.2
Daniel Ewing,2.1,0.2,0.464,0.392,75,185,11.6,1.4,2.140225564,2.8,4,Duke,32,127,0.8
Brandon Bass,0.7,1.8,0.554,0.378,80,240,15.1,0.8,2.140225564,8.2,2,Louisiana State,33,758,42.8
Ronny Turiaf,1,1.4,0.524,0.222,82,249,13.6,0.5,2.140225564,6.8,4,Gonzaga,37,473,19.2
Travis Diener,5.1,0.1,0.42,0.413,73,175,14.1,1.3,2.140225564,3.1,4,Marquette,38,179,5.6
Von Wafer,1.4,0.2,0.457,0.365,77,210,10.1,0.9,2.140225564,2.2,2,Florida State,39,200,3.3
Chris Taft,1.1,1.7,0.569,0,82,260,12,0.4,2.140225564,7.5,2,Pittsburgh,42,17,0.5
Bracey Wright,2.4,0.6,0.451,0.35,75,210,17.6,0.9,2.140225564,5.1,3,Indiana,47,26,0.5
