Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Chris Duhon,5.7,0.1,0.511,0.321,73,185,8.8,2.1,2.195454545,3.4,4,38,25,606,Duke
Justin Reed,1.1,0.7,0.5,0.285,80,240,14.6,1,2.195454545,6.3,4,40,0.5,136,Mississippi
David Young,3.4,0.4,0.53,0.343,77,213.4718329,7.7,1.2,2.195454545,2.1,4,41,20.2,574,North Carolina Central
Trevor Ariza,2.1,0.4,0.509,0.237,80,200,11.6,1.7,2.195454545,6.5,1,43,52.1,875,UCLA
Tim Pickett,2.1,0.4,0.473,0.367,76,210.6994714,16.7,2.6,2.195454545,5.1,2,44,0,0,Florida State
Bernard Robinson,3,0.4,0.472,0.297,78,210,12.5,1.4,2.195454545,5.3,4,45,2,128,Michigan
Ricky Minard,3.7,0.6,0.554,0.372,76,210.6994714,20.9,2.1,2.195454545,6.4,4,48,0,0,Morehead State
Christian Drejer,3.2,0.2,0.5,0.378,81,224.5612787,7.1,0.7,2.195454545,3.3,2,51,0,0,Florida
Romain Sato,2,0.3,0.481,0.367,77,213.4718329,15.4,1,2.195454545,6.9,4,52,0,0,Xavier
Matt Freije,0.9,0.6,0.501,0.355,82,240,15.6,0.7,2.195454545,4.9,4,53,-0.6,42,Vanderbilt
Rickey Paulding,1.8,0.4,0.494,0.367,77,213.4718329,12.8,0.8,2.195454545,4,4,54,0,0,Missouri
Luis Flores,2.3,0.2,0.477,0.386,74,200,22.7,1.8,2.195454545,4.5,4,55,0,16,Manhattan College
Marcus Douthit,1.5,2.4,0.439,0,82,227.3336402,5.9,0.9,2.195454545,4.6,4,56,0,0,Providence College
Blake Stepp,5,0.1,0.478,0.381,76,210.6994714,13,1.2,2.195454545,3.9,4,58,0,0,Gonzaga
Rashad Wright,4.1,0.3,0.446,0.341,75,207.92711,8.9,1.4,2.195454545,2.7,4,59,0,0,Georgia
Andrew Bogut,2.3,1.6,0.616,0.361,84,245,16.6,0.7,2.195454545,11.1,2,1,49.9,671,Utah
Marvin Williams,0.7,0.5,0.522,0.432,81,230,11.3,1.1,2.195454545,6.6,1,2,53.9,861,North Carolina
Deron Williams,5.9,0.2,0.464,0.374,75,210,11,1.1,2.195454545,3.3,3,3,77.3,845,Illinois
Chris Paul,6.3,0.2,0.473,0.47,72,175,15,2.5,2.195454545,3.9,2,4,154.6,834,Wake Forest
Raymond Felton,6.9,0.3,0.467,0.375,73,198,12.5,1.9,2.195454545,4.1,3,5,37.3,856,North Carolina
Charlie Villanueva,1,1.7,0.534,0.393,83,240,11.2,0.4,2.195454545,6.7,2,7,22.6,656,Connecticut
Channing Frye,1.3,1.9,0.568,0.261,83,248,13.5,0.6,2.195454545,7.3,4,8,37.3,801,Arizona
Ike Diogu,1.2,1.7,0.591,0.387,80,250,21.4,0.4,2.195454545,8.8,3,9,6.5,225,Arizona State
Sean May,1.5,1.2,0.519,0,81,266,15.8,1.3,2.195454545,10,3,13,2.6,119,North Carolina
Rashad McCants,2.1,0.6,0.538,0.415,76,207,17.6,1.5,2.195454545,4.1,3,14,3.6,249,North Carolina
Antoine Wright,2.1,0.6,0.439,0.376,79,210,15.4,1.1,2.195454545,5.6,3,15,3.1,297,Texas A&M
Joey Graham,1.6,0.2,0.56,0.476,79,225,15,0.8,2.195454545,5.7,4,16,7.8,377,Oklahoma State
Danny Granger,2.3,1.8,0.556,0.392,80,225,19.1,1.8,2.195454545,8.9,4,17,48.5,586,New Mexico
Hakim Warrick,1.5,0.9,0.544,0.25,81,219,15.4,1,2.195454545,7.6,4,19,20.4,526,Syracuse
Julius Hodge,3.5,0.6,0.52,0.329,79,210,15.8,1.2,2.195454545,6,4,20,0,23,North Carolina State
Nate Robinson,3.2,0.1,0.523,0.348,69,180,14.4,1.6,2.195454545,3.9,3,21,27.8,618,Washington
Jarrett Jack,5.4,0.1,0.53,0.359,75,202,12.5,1.8,2.195454545,4.5,3,22,35.7,805,Georgia Tech
Francisco Garcia,3.5,1.4,0.519,0.369,79,195,14.4,1.5,2.195454545,3.9,3,23,18.2,549,Louisville
Luther Head,2.5,0.2,0.594,0.382,75,185,10.1,1.2,2.195454545,3.1,4,24,14.7,348,Illinois
